TEAM,OFF_EPA_PLAY,OFF_SUCCESS_RATE,OFF_PASS_EPA,OFF_RUSH_EPA,DEF_EPA_PLAY_ALLOWED,DEF_SUCCESS_RATE_ALLOWED,DEF_PASS_EPA_ALLOWED,DEF_RUSH_EPA_ALLOWED,EARLY_DOWN_NEUTRAL_PASS_RATE
ARI,0.0641366798459178,0.46650998824911866,0.09864948356709248,0.005705192533169532,0.056299484647532594,0.4813979706877114,0.1089703522712409,-0.022632632467433092,0.5717761557177615
ATL,0.06327275547746436,0.48643006263048016,0.08156057125539924,0.03954683620681022,0.07004041850577342,0.47108307045215564,0.147006468341195,-0.05407790911343662,0.5047438330170778
BAL,0.22718860378346364,0.5093240093240093,0.3169210104012124,0.1054089090879474,-0.028719733455160802,0.40636042402826855,0.043329707877090486,-0.1668763941541169,0.5190476190476191
BUF,0.1802390446325972,0.4800483675937122,0.24633700740836664,0.08018802499024705,-0.01489321943780169,0.4443099273607748,0.10780293476123913,-0.1825896823402156,0.5523809523809524
CAR,-0.010476628855674578,0.4198966408268734,-0.0038253688832611127,-0.020928608812324303,0.16827509152761386,0.5150501672240803,0.16623133897057363,0.17061709505589687,0.5186170212765957
CHI,-0.11028274304351816,0.39362912400455063,-0.10651781049558781,-0.11670050498675939,0.041369605582728765,0.45838218053927315,0.05047339182720665,0.029485473809531957,0.5211970074812967
CIN,0.1032433716742814,0.4782608695652174,0.1769554893598136,-0.06360500281661914,0.05839734845681251,0.4732984293193717,0.08939941790888276,0.014822651342819567,0.650319829424307
CLE,-0.22042622419711502,0.35600907029478457,-0.2523190393421719,-0.16098961415405455,0.03934292387153518,0.42924528301886794,0.12416804217343792,-0.08554536983826332,0.5679611650485437
DAL,-0.05956611298941127,0.4211764705882353,-0.006917276336999258,-0.14419185043071156,0.07614406527554304,0.4519350811485643,0.05298618142260481,0.11150184377655913,0.564755838641189
DEN,0.017648110459862133,0.42478941034897716,0.03930085381089675,-0.020280039317281253,-0.09329767861497736,0.39073634204275537,-0.058911095045796905,-0.15705856408054247,0.5471698113207547
DET,0.16640519465320922,0.5096045197740113,0.24033110913928188,0.07758376008412199,-0.01920448389913423,0.4215189873417722,0.005494183805904443,-0.06731159039924689,0.4975124378109453
GB,0.09121925961324734,0.4597402597402597,0.15167554201457417,0.028848794127973473,-0.014090303907301482,0.46256038647342995,0.020742390043623275,-0.06882739440161181,0.4314214463840399
HOU,-0.0405497577672556,0.39956803455723544,0.00562142899966515,-0.12049809591528651,-0.09017128596368064,0.3919372900335946,-0.043695320048135554,-0.16504923104983663,0.5700712589073634
IND,-0.05885665984642394,0.3978835978835979,-0.06080105751660083,-0.0565575106382702,-0.006683406718153653,0.42771684945164506,0.07876600503269537,-0.11646351657573649,0.48253275109170307
JAX,-0.01634582573246564,0.4196642685851319,0.0319418535965412,-0.09083840420953107,0.10659669840655464,0.4492462311557789,0.17121080058457921,0.008035593307588232,0.5270935960591133
KC,0.09046363534303632,0.4898373983739837,0.1568371882630554,-0.028181440839773912,-0.010366121673906912,0.4223194748358862,0.04893224374412342,-0.1158054644384897,0.6143410852713178
LA,0.01816816098895219,0.471875,0.06566967991958597,-0.04664918257649392,0.028251752277601096,0.4537902388369678,0.08438852467825714,-0.05458245686886824,0.5133470225872689
LAC,0.06446422642299962,0.42806603773584906,0.15024941285472798,-0.06820655739784158,-0.07325135264190356,0.40838323353293415,-0.036834405669858815,-0.13039794635188148,0.5744186046511628
LV,-0.1601975208262987,0.3935340022296544,-0.09203442378936671,-0.27292879669507086,0.03237531413521754,0.44124168514412415,0.08576808876407864,-0.05714076202296208,0.5369565217391304
MIA,-0.03973759514880126,0.44385026737967914,0.07844110105900395,-0.21387921892591108,-0.019221336301884953,0.4311594202898551,0.02532827688414776,-0.09140298804634302,0.5088888888888888
MIN,0.07152604430791791,0.4683257918552036,0.17496253144209473,-0.11078076426606871,-0.1059793453850105,0.41723356009070295,-0.05512403645275244,-0.19797238829431804,0.565
NE,-0.07189372182378423,0.4266666666666667,-0.0015824195273249232,-0.18006495612602932,0.10732343221101344,0.4728950403690888,0.1965441953082763,-0.01308832936740637,0.5257731958762887
NO,-0.026081846391577915,0.40636042402826855,-0.009709696158108959,-0.04908634077061645,0.08644851083969159,0.46474358974358976,0.09535451643949029,0.07200431688371552,0.5222772277227723
NYG,-0.11497175462667042,0.4047350620067644,-0.11567418354792044,-0.11391414271981655,0.08219264500218909,0.4664391353811149,0.174435761167962,-0.05525743744312696,0.4962962962962963
NYJ,-0.018018454001797482,0.4219269102990033,0.022084271386404234,-0.09324299302616311,0.022015391030962606,0.43548387096774194,0.059382996709618684,-0.028819727354214193,0.54627539503386
PHI,0.1063311457668815,0.4515778019586507,0.1561306478431618,0.050436092628146585,-0.10437215994849715,0.392018779342723,-0.05706527346398385,-0.1799477956737562,0.4827586206896552
PIT,-0.020871926003737988,0.4105263157894737,0.04289494228018414,-0.10521881045753229,-0.0393616036307327,0.437636761487965,-0.014254846236917931,-0.07889590611845788,0.504
SEA,-0.027592021204684004,0.4419642857142857,0.01672400649606519,-0.11261527956214744,-0.015473839361797238,0.440713536201469,0.024178512268379627,-0.07850814833911643,0.5696821515892421
